Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1946,19,30155C97D461A7C000EA92F4,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1945,118,30155C97D461A7C0011A44B2,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1944,121,30155C97D461A7C000D5D80C,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1944,22,30155C97D461A7C0011A46BA,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1944,8,30155C97D461A7C0011A4764,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1943,93,30155C97D461A7C000D5D720,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1943,82,30155C97D461A7C000D5D829,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1943,70,30155C97D461A7C000D5DAE3,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1942,89,30155C97D461A7C000D5C96D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1942,68,30155C97D461A7C000D5C9AD,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1942,93,30155C97D461A7C000D5C9B2,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1942,72,30155C97D461A7C000EA88E3,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1942,58,30155C97D461A7C000EA91A3,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1942,37,30155C97D461A7C0011A2967,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1942,3,30155C97D461A7C0011A4153,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1941,81,30155C97D461A7C000F7CEB7,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1941,3,30155C97D461A7C000F7F902,Andet
09886 Kokkeja tryk k/æ bordeaux,Udgået Model,1,1940,129,30155C97D461A7C000D5E943,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1940,57,30155C97D461A7C000D5DB21,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1937,139,30155C97D461A7C0011A453C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1936,68,30155C97D461A7C000EA8C0C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1933,105,30155C97D461A7C000EA92A7,Andet
23180 Tunika da m trykknap Ocean,Ødelagt af lommefyld uden restværdi,1,1933,10,30155C97D461A7C0011A4B5A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1930,46,30155C97D461A7C000F82AFD,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1929,73,30155C97D461A7C000F7F5CB,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1929,13,30155C97D461A7C0011A2A58,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1929,35,30155C97D461A7C000BBD0BE,Andet
09104 Cardigan Vask,"Kass. af RETUR,MINIMU,afmeld",1,1927,2,000098558553,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1926,29,30155C97D461A7C000EA8F07,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1925,15,30155C97D461A7C000F7F66F,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1925,19,30155C97D461A7C0011A34BF,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1924,8,30155C97D461A7C000F7C870,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1924,34,30155C97D461A7C000BBCFF4,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1924,36,30155C97D461A7C000BBD037,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1923,22,30155C97D461A7C0010A378C,Andet
23188 Nederdel Cheans,Bortkommet med restværdi,1,1923,97,30155C97D461A7C000EB83BD,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1922,84,30155C97D461A7C0011A34FE,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1922,51,30155C97D461A7C0011A352A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1922,71,30155C97D461A7C0011A376B,Andet
09886 Kokkeja tryk k/æ bordeaux,Udgået Model,1,1921,125,30155C97D461A7C000D5E4A4,Andet
09886 Kokkeja tryk k/æ bordeaux,Udgået Model,1,1921,147,30155C97D461A7C0010D4E11,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1919,105,30155C97D461A7C0011A3E5C,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1919,127,30155C97D461A7C0011A4264,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1919,104,30155C97D461A7C0011A4322,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1916,52,30155C97D461A7C000D5C8CD,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1914,87,30155C97D461A7C000EA9493,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1908,11,30155C97D461A7C000EA91F1,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1907,73,30155C97D461A7C0011A4CE4,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1906,5,30155C97D461A7C000EA8E7D,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1906,109,30155C97D461A7C0011A4E09,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1903,19,30155C97D461A7C0011A39F9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1903,18,30155C97D461A7C0011A47C0,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1902,57,30155C97D461A7C0010A3870,Andet
23193 Nederdel Mind,Bortkommet med restværdi,1,1900,2,30155C97D461A7C00103FD3C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1899,68,30155C97D461A7C000D5DB03,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1899,16,30155C97D461A7C000EA933D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1899,46,30155C97D461A7C000EA9582,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1891,12,30155C97D461A7C000EA8D26,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1891,46,30155C97D461A7C000EB83A7,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1890,23,30155C97D461A7C000EA9368,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1884,26,30155C97D461A7C0010A386B,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1884,53,30155C97D461A7C0011A3FEE,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1876,18,30155C97D461A7C000F7F521,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1875,33,30155C97D461A7C00109B6FD,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1875,85,30155C97D461A7C0011A3814,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1868,14,30155C97D461A7C000F7F632,Andet
